type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","23327416","","unclassified","2","yes","RU:urban","Ленинградское шоссе",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3561247 59.72803109999999, 30.3558717 59.7284942)"
"way","23327417","","residential","2","yes","RU:urban","Волхонское шоссе",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3552953 59.7283214, 30.3561247 59.72803109999999)"
"way","23327428","","unclassified",,,,"Подкапризовая дорога",,"concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,"destination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3782375 59.7123697, 30.3784329 59.7124235)"
"way","23327429","","unclassified",,,,"Подкапризовая дорога",,"concrete",,,,,,,,,,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3797267 59.7126825, 30.3802426 59.7127857)"
"way","23327430","","unclassified",,,,"Подкапризовая дорога",,"concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3802426 59.7127857, 30.3830151 59.7133406, 30.3862902 59.7139962, 30.3879827 59.7143349, 30.3888312 59.714504699999985)"
"way","23336308","","secondary","2","yes","RU:rural","Красносельское шоссе",,"asphalt",,,,,"both",,,,,,,,,,,"yes","1",,,,"very_good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3103439 59.71223879999999, 30.311113 59.7120673)"
"way","23357172","","secondary","2","yes","RU:urban","Привокзальная площадь",,"asphalt",,,"no_stopping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4328089 59.692514, 30.4336367 59.693154)"
"way","23357174","","residential","2","yes","RU:urban","Берёзовая улица",,"asphalt",,,,,,,,,,,,,,,,,,,,"улица Коммунаров",,,,,,"197341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4217996 59.685135, 30.4220199 59.6853527, 30.4220934 59.6854124, 30.422259 59.6855471, 30.4225487 59.6857784, 30.4226956 59.685885, 30.4227579 59.6859219, 30.4228951 59.6859929, 30.4230284 59.6860194, 30.4238477 59.6860118, 30.4240372 59.6860101, 30.4241063 59.6860095, 30.4248883 59.6860031, 30.4249747 59.6860006, 30.4250946 59.6859971, 30.4259725 59.68597410000001, 30.4261474 59.6859728, 30.4266227 59.6859692, 30.4281906 59.6859657, 30.4282864 59.6859652, 30.4284961 59.6859641, 30.4287031 59.6859638, 30.4290024 59.6859616, 30.4293617 59.6859599, 30.4301049 59.6859601, 30.4305515 59.6859633)"
"way","23972812","","trunk","1","yes",,,"yes","asphalt",,,,,,,,"E 105",,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3770005 59.8150537, 30.3771983 59.8151668, 30.3774939 59.815304, 30.3778812 59.8154455, 30.3782983 59.8155463, 30.3792056 59.8156781)"
"way","23972816","","trunk","3","yes","RU:urban","Витебский путепровод","yes","asphalt",,,,,,,,"E 105;AH8","implicit","Россия","М-10","yes","3",,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3858464 59.8086304, 30.3861522 59.8084708, 30.3870915 59.8079647, 30.3896678 59.80654220000001)"
"way","23975373","","tertiary","2","yes","RU:urban","Пушкинская улица",,"asphalt",,"no",,,,,,,,,"40-3181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3821985 59.8100561, 30.3831477 59.8095278, 30.3838158 59.8091709, 30.3843407 59.8088777, 30.3845182 59.80876150000001, 30.3846525 59.8086635, 30.3847701 59.808572599999984, 30.3848762 59.8084542, 30.3849134 59.8084026, 30.3849907 59.8082887, 30.385447 59.8074036, 30.3855054 59.8072903, 30.3856661 59.8069803, 30.3857429 59.8068383, 30.3858944 59.8065624, 30.3859437 59.80647230000001, 30.3860761 59.8062298, 30.3862281 59.8059513, 30.3863814 59.805671, 30.3864549 59.8055366, 30.38658519999999 59.805294, 30.3867693 59.8049515)"
